Datum,Ponovljena,Opstina,Pocetna Cena,Procenjena Vrednost,%,Tip,Kategorija,Opis,Link
2025-03-06,True,Земун,19090413.5,38180827.0,50.0,Nepokretnosti,Стан,"Стан број 9, собности петособан стан, површине 143,64м2 (укњижене корисне површине 144м2) који се налази у поткровљу (прва етажа) стамбене зграде за колективно становање, у Београду-Земун, у улици Лазе Јовановића Порција бр. 25, на катастарској парцели 11155 КО Земун, означена као зграда број 4, уписано у лист непокретности 1232 КО Земун",https://eaukcija.sud.rs/#/aukcije/124580
2025-03-06,False,Краљево-град,8400.0,12000.0,70.0,Pokretnosti,Разна роба,Телевизор ADLER,https://eaukcija.sud.rs/#/aukcije/124584
2025-03-06,False,Краљево-град,8400.0,12000.0,70.0,Pokretnosti,Намештај,Комода светло-браон,https://eaukcija.sud.rs/#/aukcije/124585
2025-03-06,False,Мали Иђош,120050.0,171500.0,70.0,Pokretnosti,Покретне ствари,"1.	Комплет кухиња, доњи и горњи елементи, са судопером  „Siemens A12-22“; 
2.	Вентилатор „Prosto“; 
3.	Замрзивач, сандучар cc 380l;
4.	Мапина за прање посуђа „VOX LC-20Е“; 
5.	Баштенска гарнитура, сто и две столице; 
6.	Машина за сушење веша „Gorenje 7kg wave active“; 
7.	Орман са чивилуком; 
8.     Веш машина „Amica 7kg 1400@ WA-14690W“; 
9.	Телевизор „Vivax 32““; 
10.	Телевизор „Samsung 32““; 
11.	Орман, регал 4 дела;.",https://eaukcija.sud.rs/#/aukcije/124596
2025-03-06,True,Врање-град,5000.0,10000.0,50.0,Pokretnosti,Покретне ствари,Вишеделни регал дрво стакло браон боје,https://eaukcija.sud.rs/#/aukcije/124670
2025-03-06,True,Врање-град,5000.0,10000.0,50.0,Pokretnosti,Покретне ствари,Телевизор марке Вивакс црне боје дијагонале 102 цм,https://eaukcija.sud.rs/#/aukcije/124671
2025-03-06,True,Врање-град,250.0,500.0,50.0,Pokretnosti,Покретне ствари,Телевизор марке Фуего,https://eaukcija.sud.rs/#/aukcije/124672
2025-03-06,True,Врање-град,2000.0,4000.0,50.0,Pokretnosti,Покретне ствари,Вишеделна полица за телевизор црно беле боје,https://eaukcija.sud.rs/#/aukcije/124673
2025-03-06,True,Врање-град,6000.0,12000.0,50.0,Pokretnosti,Покретне ствари,Веш машина беле боје марке Горење,https://eaukcija.sud.rs/#/aukcije/124674
2025-03-06,True,Врање-град,250.0,500.0,50.0,Pokretnosti,Покретне ствари,Микроталасна марке Шарп беле боје,https://eaukcija.sud.rs/#/aukcije/124675
